"continente","ano","pib_corrente","pib_taxa_crescimento","pib_per_capita","expec_anos_escolaridade","expec_vida_mulheres","expec_vida_homens","expec_vida_geral","forca_trabalho_ensino_basico","forca_trabalho_ensino_intermediario","forca_trabalho_ensino_superior","pib_gasto_educacao","desemprego_ensino_basico","desemprego_ensino_intermediario","desemprego_ensino_avancad"
"Africa Eastern and Southern","2015","899295676086.836","3.01157198178016","1498.80508358802","9.41691970825195","64.1911251346056","59.517464093099","61.8564581403595","..","..","..","4.75098514556884","..","..",".."
"Africa Eastern and Southern","2016","829829959319.292","2.18358078096774","1346.30128120779","9.46366024017334","64.8677908228342","60.0212486659235","62.444050201953","..","..","..","4.88207006454468","..","..",".."
"Africa Eastern and Southern","2017","940105480733.676","2.65139974202668","1485.7535786147","..","65.3040097015379","60.5358392824653","62.9223896233502","..","..","..","4.82044506072998","..","..",".."
"Africa Eastern and Southern","2018","1012719339457.72","2.681718104162","1558.61207925907","..","65.8281070906573","60.9051856180292","63.3658626111831","..","..","..","4.73974990844727","..","..",".."
"Africa Eastern and Southern","2019","1006527294483.09","2.18925928385238","1508.48688648948","..","66.2197263000846","61.2907210048687","63.7556779176533","..","..","..","4.51147508621216","..","..",".."
"Africa Eastern and Southern","2020","929074086484.093","-2.78037855183037","1356.08887141531","..","65.8364652190824","60.8174841935841","63.313860330682","..","..","..","4.35243988037109","..","..",".."
"Africa Eastern and Southern","2021","1086772164579.87","4.49737998264359","1545.95669660381","..","65.0784721607323","59.8945091279094","62.4545896453864","..","..","..","4.67440986633301","..","..",".."
"Africa Eastern and Southern","2022","1183962133998.87","3.55442232938942","1642.43203899493","..","65.4906379129486","60.362146232913","62.8990306485382","..","..","..","4.2441201210022","..","..",".."
"Africa Eastern and Southern","2023","1236163044999.97","2.62231040700607","1672.5059574692","..","..","..","..","..","..","..","..","..","..",".."
"Africa Western and Central","2015","769367317617.821","2.81397900746174","1882.51880807768","8.89208030700684","57.1643238923324","55.2335069473088","56.1958723463673","..","..","..","3.19549000263215","..","..",".."
"Africa Western and Central","2016","692181085843.488","0.141488617696979","1648.92026894717","8.69777965545654","57.4486009951228","55.7171055612091","56.5816784850503","..","..","..","2.78355002403259","..","..",".."
"Africa Western and Central","2017","685750159763.133","2.28496137040275","1590.5557849502","8.70069026947021","57.8422360012788","55.942663783214","56.888445830282","..","..","..","3.53558993339539","..","..",".."
"Africa Western and Central","2018","768189587833.624","2.84264500273268","1735.44583276662","8.70934963226318","58.113247716781","56.2718124700128","57.1891392680655","..","..","..","3.07200002670288","..","..",".."
"Africa Western and Central","2019","823933630796.516","3.22202851816455","1813.60914568405","..","58.5459790446893","56.5773921225952","57.5557955517512","53.2797457983622","63.0571140583077","74.7193625181055","3.10000002384186","13.1289425493484","15.6706775012704","20.8343745029732"
"Africa Western and Central","2020","787146719022.421","-1.00441739370378","1688.47087082362","..","58.3462397855696","56.1310226277444","57.2263727312399","..","..","..","3.40399992465973","..","..",".."
"Africa Western and Central","2021","845993047006.805","3.99485439730634","1769.17185266776","..","58.0998277402241","55.903419131817","56.9886567820139","..","..","..","3.28288006782531","..","..",".."
"Africa Western and Central","2022","877140805320.357","3.78448567787608","1788.8753472127","..","58.717472285814","56.5567273374761","57.626176164197","71.561891502385","74.5264082752764","75.4171018317782","2.9284999370575","5.35142177523468","7.11128172972122","10.5231173053586"
"Africa Western and Central","2023","796586157553.094","3.34277559400802","1584.33328485465","..","..","..","..","..","..","..","..","..","..",".."
"Arab World","2015","2544136348540.18","3.38756030711494","6258.60722652973","10.9008302688599","72.8902808501337","68.8064676834851","70.7582222288211","..","..","..","..","..","..",".."
"Arab World","2016","2499965913229.88","3.60944655086158","6022.88281755523","10.952130317688","73.2283985397367","68.8646134647447","70.9430622781923","..","..","..","..","..","..",".."
"Arab World","2017","2571053716382.94","1.51128390704507","6068.60300810317","11.05784034729","73.7323198474657","69.3336597525731","71.4295960025113","..","..","..","..","..","..",".."
"Arab World","2018","2865543585777.95","2.62315703654876","6624.83465856668","11.1819696426392","73.8423769640706","69.6093962051032","71.6330166549463","..","..","..","..","..","..",".."
"Arab World","2019","2898668715645.56","1.67111088873453","6565.98083975861","11.2999496459961","73.939309768062","69.9069657642315","71.8446260250446","..","..","..","..","..","..",".."
"Arab World","2020","2576553324185.61","-5.40097921653559","5735.50986687093","11.3555498123169","73.1127112182209","68.9362228892435","70.9233595872331","..","..","..","..","..","..",".."
"Arab World","2021","2969116805615.58","5.11664702876513","6503.79337634305","11.4030303955078","72.9896942067504","68.8324333178596","70.814483021063","..","..","..","..","..","..",".."
"Arab World","2022","3613682354462.24","5.79310898501694","7776.62937958481","..","73.3736804518296","69.2570317618992","71.2272744547437","..","..","..","..","..","..",".."
"Arab World","2023","3491516939569.88","0.929791980463165","7377.39893629449","..","..","..","..","..","..","..","..","..","..",".."
"Caribbean small states","2015","34538256117.6859","0.697970065643204","11629.1207744449","12.8020296096802","75.0590245217263","68.8686474557813","71.8831902659277","..","..","..","..","..","..",".."
"Caribbean small states","2016","33451252507.2663","0.471963597496924","11175.5737188632","12.9395503997803","75.4175370081085","69.177910167433","72.2220822250887","..","..","..","..","..","..",".."
"Caribbean small states","2017","34921587493.3397","1.94326028621741","11576.2769685123","..","75.6575848373518","69.3736314356137","72.4446539898052","..","..","..","..","..","..",".."
"Caribbean small states","2018","36225416548.2006","2.89116347683975","11845.703369406","..","75.9749610277166","69.5866271194764","72.7112410753584","..","..","..","..","..","..",".."
